id,best_num,type,name,price,color,image_path,combination_path
1,1,top,Nordic Pattern Hood Zip-up,89000,Navy/White,static/images/result/combination/best_1/T1.jpg,images/result/combination/best_1/bottom_output.jpg
2,1,top,Character Print Sweatshirt,59000,Black,images/result/combination/best_1/T2.jpg,images/result/combination/best_1/bottom_output.jpg
3,1,top,Stripe Crop Knit,69000,Brown/Beige,images/result/combination/best_1/T3.jpg,images/result/combination/best_1/bottom_output.jpg
4,1,top,Basic Oxford Shirt,49000,Royal Blue,images/result/combination/best_1/T4.jpg,images/result/combination/best_1/bottom_output.jpg
5,1,top,Mahagrid Logo Sweatshirt,69000,Light Gray,images/result/combination/best_1/T5.jpg,images/result/combination/best_1/bottom_output.jpg
6,1,top,Minimal Basic Sweatshirt,55000,Gray,images/result/combination/best_1/T6.jpg,images/result/combination/best_1/bottom_output.jpg
7,1,top,Floral Pattern Shirt,59000,White/Brown,images/result/combination/best_1/T7.jpg,images/result/combination/best_1/bottom_output.jpg
8,1,top,Short Sleeve Shirt,45000,Light Green,images/result/combination/best_1/T8.jpg,images/result/combination/best_1/bottom_output.jpg
9,1,top,Half-Zip Fleece,75000,Navy,images/result/combination/best_1/T9.jpg,images/result/combination/best_1/bottom_output.jpg
10,1,top,Button-Down Shirt,55000,Khaki,images/result/combination/best_1/T10.jpg,images/result/combination/best_1/bottom_output.jpg
11,1,top,Graphic Sweatshirt,60000,Cream,images/result/combination/best_1/T11.jpg,images/result/combination/best_1/bottom_output.jpg
12,1,top,Plaid Jacket,85000,Yellow/Red,images/result/combination/best_1/T12.jpg,images/result/combination/best_1/bottom_output.jpg
13,1,top,Checkered Shirt,50000,Blue/Green,images/result/combination/best_1/T13.jpg,images/result/combination/best_1/bottom_output.jpg
14,1,top,Plaid Shirt,52000,Green/Black,images/result/combination/best_1/T14.jpg,images/result/combination/best_1/bottom_output.jpg
15,1,top,Polo Sweater,70000,Brown,images/result/combination/best_1/T15.jpg,images/result/combination/best_1/bottom_output.jpg
16,1,top,Raglan T-Shirt,40000,White/Black,images/result/combination/best_1/T16.jpg,images/result/combination/best_1/bottom_output.jpg
17,1,top,Striped Long Sleeve,65000,Black/Pink,images/result/combination/best_1/T17.jpg,images/result/combination/best_1/bottom_output.jpg
